Name,Is Fork,Commits,Branches,Default Branch,Releases,Contributors,License,Watchers,Stargazers,Forks,Size,Created At,Pushed At,Updated At,Homepage,Main Language,Total Issues,Open Issues,Total Pull Requests,Open Pull Requests,Last Commit,Last Commit SHA,Has Wiki,Is Archived,Languages,Labels,spring,test,checkstyle,maven,gradle,gradle_on_root,maven_usage_on_root,score
sofastack/sofa-tracer,False,229,12,master,30,17,Apache License 2.0,75,940,318,1686,2018-05-14 09:56:50.0,2021-10-18 11:32:43.0,2021-10-18 11:31:56.0,,Java,177,26,279,11,2021-10-18 11:31:50.0,93d69426956a166cdf3eb1f411feda02d50d1e1c,False,False,"Java,Shell","bug,cla:no,cla:yes,dependencies,duplicate,enhancement,First-time contributor,good first issue,help wanted,invalid,performance,question,size/L,size/M,size/S,size/XL,size/XS,size/XXL,upgrade,waiting for feedback,wontfix",1,369,0,1,0,0,1,15.025561201116869
geowebcache/geowebcache,False,2596,53,main,3,64,,42,272,240,11710,2010-09-30 22:26:08.0,2021-11-06 15:54:49.0,2021-11-06 12:48:02.0,https://www.geowebcache.org,Java,412,157,576,11,2021-11-06 12:47:53.0,23ea33102a872ca8b5c719b55158ab829cf01450,True,False,"Java,XSLT,JavaScript,CSS,Shell,HTML,Scheme","backport 1.14.x,backport 1.15.x,backport 1.16.x,Bug,citewmts10,dependencies,Documentation,Duplicate,Good first issue,Improvement,New Feature,Task,Wish,Won't fix / Not a bug",1,551,1,1,0,0,0,14.898071841126724
togglz/togglz,False,999,67,master,14,77,Apache License 2.0,33,717,219,2812,2011-12-21 16:49:03.0,2021-11-04 09:24:18.0,2021-11-04 09:24:23.0,http://www.togglz.org/,Java,266,56,344,8,2021-11-04 09:24:18.0,6428c8a5468676447f2692fae50afe95ea98a884,True,False,"Java,Groovy,Kotlin,HTML,CSS","bug,dependency-update,documentation,github_actions,help-wanted,java,new-feature,support,waiting-for-feedback,won't fix",1,426,0,1,error,0,1,14.709146972104511
jbosstm/narayana,False,2863,9,master,0,49,Other,24,176,153,91566,2011-12-19 08:13:03.0,2021-11-04 12:36:15.0,2021-11-04 12:36:19.0,http://www.jboss.org/narayana/,Java,0,0,1915,2,2021-11-04 12:36:15.0,e32d318e2cac31070563000fb4ebc6672ea1f9cd,True,False,"Java,Shell,Python,Batchfile,XSLT,HTML,PowerShell","dependencies,Hold,NoCI,Urgent",1,874,1,1,0,0,error,14.693501439846692
hawtio/hawtio,False,8923,6,master,36,104,Apache License 2.0,122,1258,504,96677,2012-12-02 11:58:08.0,2021-10-29 01:22:50.0,2021-10-29 01:22:53.0,https://hawt.io/,Java,2189,97,513,0,2021-10-29 01:22:50.0,24eeaad25f2f59f7f688b22e85adbd42e56e9a2a,False,False,"Java,HTML,JavaScript,TypeScript,Shell,Less","0 - Backlog,1 - Ready,2 - Working,3 - Done,activemq,api,apprentice tasks,branding,bug,camel,camel-editor,chart,chrome app/extension,core,css,dashboard,directives,documentation,dozer,duplicate,elasticsearch,enhancement,fabric8,feature request,forge,form plugin,glassfish,hawt ideas,hawtio.next,health,infinispan,insight,invalid,jboss,jetty,jmx,junit,jvm,karaf,kubernetes,log,maven,openejb,optimisation,osgi,perspective,question,rhq,security,task,terminal,tests,threads,tomcat,ui,v1,v2,website,wiki,wontfix",1,104,0,1,0,0,1,14.343011248157186
playtika/testcontainers-spring-boot,False,716,10,develop,7,63,MIT License,38,566,162,2512,2017-10-22 19:17:46.0,2021-11-01 14:23:47.0,2021-11-03 01:32:34.0,,Java,138,25,606,7,2021-11-01 10:18:54.0,76950220762086b5963f6231e32db142a8bbcf87,False,False,"Java,HTML,HCL,Lua,Shell","breaking-change,bug,dependencies,documentation,duplicate,enhancement,feature,github_actions,good first issue,help wanted,housekeeping,invalid,java,question,security,stale,wip,wontfix",1,471,0,1,0,0,1,13.976132210034836
apicurio/apicurio-registry,False,1442,21,master,19,43,Apache License 2.0,12,238,104,8446,2019-07-16 12:44:20.0,2021-11-05 22:54:21.0,2021-11-05 16:34:01.0,https://www.apicur.io/registry/,Java,549,165,1433,17,2021-11-05 16:33:58.0,b843e80dd93708d11c1359192a9f13dde97a9cbe,False,False,"Java,TypeScript,CSS,Shell,Makefile,JavaScript,HTML,Dockerfile","2.0.x,2.1.x,Beginner Friendly,Bug,Dependencies,Discussion,DO NOT MERGE,Documentation,Duplicate,Enhancement,EPIC,Impacts Documentation,Impacts Operator,invalid,java,javascript,mas,Quality,Question,READY TO MERGE,Seeking Contribution,Task,Tests,UI,Wontfix",1,591,1,1,0,0,1,13.944183848947748
adorsys/keycloak-config-cli,False,1323,3,main,69,16,Apache License 2.0,6,242,43,3245,2017-11-09 11:24:12.0,2021-11-07 01:38:19.0,2021-11-07 09:44:11.0,,Java,105,1,459,0,2021-11-07 01:38:18.0,4eaa9258556f938cc9db6fe4b8c97fbece2698ca,False,False,"Java,Shell,Mustache,Dockerfile","bug,dependencies,duplicate,enhancement,feedback needed,github_actions,good first issue,help wanted,idea,invalid,java,pr contribution welcome,question,wontfix",1,589,1,1,0,0,1,13.913926914106312
open-telemetry/opentelemetry-java-instrumentation,False,6959,13,main,40,135,Apache License 2.0,42,595,275,153891,2019-09-25 20:19:14.0,2021-11-07 05:24:12.0,2021-11-06 19:08:58.0,,Java,1502,240,2879,18,2021-11-06 16:09:01.0,d3f8ab6c8232881018a38dba7aa075cc8ec1fb65,True,False,"Java,Groovy,Kotlin,Scala,JavaScript,Dockerfile,Lex,HTML,Batchfile,Shell,FreeMarker,Mustache","area:build,area:tests,bug,bug:concurrency,cleanup,contributor experience,dependencies,discussion,documentation,duplicate,enhancement,good first issue,help wanted,instrumentation api,invalid,new instrumentation,packaging,priority:p1,priority:p2,priority:p3,question,regression,repro provided,specification,sporadic test failure,supportability,tracking,wontfix",1,673,1,0,1,1,0,13.71862604119793
tmobile/pacbot,False,972,34,master,9,30,Apache License 2.0,76,1070,226,27388,2018-09-18 20:55:41.0,2021-08-09 21:00:32.0,2021-08-09 21:54:56.0,https://tmobile.github.io/pacbot/,Java,185,86,331,32,2020-09-29 05:06:47.0,997c240c123d81cf3f55ff5093127c5fda6119c3,True,False,"Java,TypeScript,JavaScript,CSS,HTML,Python,Handlebars,Shell,Dockerfile","bug,duplicate,enhancement,help wanted,good first issue,invalid,question,wontfix,Improvement,Syntax Error,known Issue,Reference documentation,Missing Class Files,Epic,new feature,typo error,dependencies,java",1,328,0,1,0,0,1,13.574104776901228
spring-cloud/spring-cloud-aws,False,1739,50,main,0,60,Apache License 2.0,102,572,383,46921,2014-10-27 14:30:09.0,2021-11-05 17:00:16.0,2021-11-06 00:03:07.0,,Java,509,79,286,6,2021-01-22 14:28:38.0,8d1675bd900071094ed92e638e8ff2ca093a6633,True,False,Java,"component: appconfig,component: cloudwatch,component: cognito,component: core,component: elasticache,component: infrastructure,component: parameter-store,component: rds,component: s3,component: secrets-manager,component: ses,component: sns,component: sqs,for: team-attention,hacktoberfest,help wanted,status: blocked,status: duplicate,status: feedback-provided,status: feedback-reminder,status: in-progress,status: invalid,status: waiting-for-feedback,status: waiting-for-triage,status: wontfix,theme: ecs,type: bug,type: dependency-upgrade,type: documentation,type: enhancement,type: feature,type: maintenance,type: question,waiting-for-triage",1,508,0,1,0,0,1,13.53743513802513
spring-cloud/spring-cloud-function,False,1452,27,main,0,64,Apache License 2.0,83,789,411,8778,2016-09-22 02:34:34.0,2021-11-05 09:02:04.0,2021-11-05 16:22:22.0,,Java,474,47,283,1,2021-11-03 07:00:01.0,90cec8e350c5e1cd5ced9c3fec3c80486c18dc65,True,False,"Java,Kotlin,Shell,Ruby,HTML","1.x-backport,1.x-only,2.0.x-backport,2.1.x-backport,3.0.x-backport,3.1.x backport,AWS,bug,documentation,duplicate,enhancement,feature,GCF,help wanted,ideal-for-contribution,invalid,question,task,waiting-on-feedback,wontfix",1,258,1,1,1,0,1,12.766693729414751
asciidoctor/asciidoctorj,False,1558,17,main,37,52,Apache License 2.0,36,526,164,3914,2013-03-18 19:36:27.0,2021-10-23 08:30:50.0,2021-10-23 08:30:54.0,http://asciidoctor.org,Java,574,120,484,3,2021-10-23 08:30:50.0,0796989a3ec6ef6e38f7baf05e39e5ca75789df1,False,False,"Java,Groovy,Ruby,Shell,CSS,PowerShell,CoffeeScript,Makefile,Slim,Haml","bug,documentation,duplicate,enhancement,hackfest,help wanted,improvement,infrastructure,invalid,question,tracking,wip,wontfix",1,375,0,0,1,1,0,12.466469587905681
synyx/urlaubsverwaltung,False,7454,25,main,159,40,Apache License 2.0,29,185,65,31693,2013-07-18 13:44:51.0,2021-11-06 20:09:14.0,2021-11-06 20:09:18.0,https://urlaubsverwaltung.cloud,Java,915,103,1486,13,2021-11-06 20:09:13.0,93d6bd9b26380c5a56acec56adfd8fc88c8598a1,True,False,"Java,JavaScript,HTML,CSS,FreeMarker,Smarty,Shell,Dockerfile","github_actions,java,javascript,Stale,status: blocked,status: duplicated,status: ideal-for-contribution,status: needs-work,status: new,status: planned,status: stale,status: waiting-for-reply,status: won't-fix,topic: absence-overview,topic: accessibility,topic: account,topic: api,topic: application,topic: authentication,topic: calendar,topic: ci/cd,topic: configuration,topic: department,topic: documentation,topic: emails,topic: holiday replacement,topic: oidc,topic: overtime,topic: privacy,topic: residual-leave,topic: security,topic: sick note,topic: special leave,topic: statistics,topic: timeline,topic: translation,topic: two-stage-approval,topic: ux,type: breaking,type: bug,type: dependencies,type: deprecation,type: enhancement,type: question,type: security",1,343,0,1,0,0,1,12.460450080280493
spring-cloud/spring-cloud-commons,False,1528,59,main,1,87,Apache License 2.0,70,556,512,14516,2014-12-01 21:52:43.0,2021-11-05 12:57:39.0,2021-11-05 12:57:42.0,,Java,622,93,402,19,2021-11-05 12:57:16.0,a71a1e2b4c9c6d6e16fa5ce300c615dbb668d540,True,False,Java,"backlog,bug,closable,dependencies,documentation,duplicate,enhancement,feedback-provided,feedback-reminder,for team discussion,good first issue,gracehopperOSD,help wanted,icebox,in progress,invalid,needs release note,question,ready,task,waiting for feedback,waiting for votes,waiting-for-triage,wontfix",1,310,1,1,0,0,1,12.208156176936388
vertaai/modeldb,False,3115,332,master,2,42,Apache License 2.0,69,1347,248,39537,2016-10-19 01:07:26.0,2021-11-03 15:43:25.0,2021-11-04 16:52:16.0,,Java,125,80,2582,70,2021-11-03 00:47:07.0,69834dcbf2fc67966dffa30cf62dbc640e4087a8,True,False,"Java,Python,TypeScript,Scala,Jupyter Notebook,JavaScript,CSS,Go,Shell,Mustache,Dockerfile,HTML,Makefile","backend,bug,cli,dataset version integration,dependencies,do-not-merge,documentation,duplicate,enhancement,feature branch,good first issue,help wanted,invalid,java,javascript,lineage,migration,ops,P0,python-client,question,scala-client,tests,versioning,webapp,WIP,wontfix,work-in-progress",1,92,0,1,0,0,1,12.163038139301246
paulcwarren/spring-content,False,1229,19,main,39,14,Apache License 2.0,11,164,41,13613,2016-02-17 16:00:45.0,2021-11-06 04:33:17.0,2021-11-06 04:12:13.0,https://paulcwarren.github.io/spring-content/,Java,158,10,508,5,2021-11-06 04:11:35.0,911d2099d2e0a18bc3e2c61a310b13d1ddc63801,True,False,"Java,Rich Text Format,HTML,Shell","1.1.0.M3,bug,dependencies,duplicate,enhancement,good first issue,help wanted,in-progress,invalid,needs more info,performance,question,wontfix",1,555,1,1,0,0,1,11.796180510430123
